"SUID","ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"975",,,,,"975","kappa:0.46",,,"term-term","term-term","0.4576271186440678","voltage-gated ion channel activity (term-term) action potential",,,"false","term-term","voltage-gated ion channel activity (term-term) action potential","+",,,,,"GO:0005244 (term-term) GO:0001508"
"976",,,,,"976","is_a:",,,"term-term","term-term","2.0","voltage-gated ion channel activity (term-term-ontology) ion channel activity","POSITIVELY_REGULATES",,"false","term-term","voltage-gated ion channel activity (term-term-ontology) ion channel activity","+",,,,,"GO:0005244 (term-term-ontology) GO:0005216"
"978",,,,,"978","kappa:0.6",,,"term-term","term-term","0.6","voltage-gated potassium channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","voltage-gated potassium channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0005249 (term-term) GO:0005244"
"980",,,,,"980","kappa:0.45",,,"term-term","term-term","0.4482758620689655","cation channel activity (term-term) ion channel activity",,,"false","term-term","cation channel activity (term-term) ion channel activity","+",,,,,"GO:0005261 (term-term) GO:0005216"
"981",,,,,"981","is_a:",,,"term-term","term-term","2.0","cation channel activity (term-term-ontology) ion channel activity","POSITIVELY_REGULATES",,"false","term-term","cation channel activity (term-term-ontology) ion channel activity","+",,,,,"GO:0005261 (term-term-ontology) GO:0005216"
"983",,,,,"983","is_a:",,,"term-term","term-term","2.0","calcium channel activity (term-term-ontology) cation channel activity","POSITIVELY_REGULATES",,"false","term-term","calcium channel activity (term-term-ontology) cation channel activity","+",,,,,"GO:0005262 (term-term-ontology) GO:0005261"
"985",,,,,"985","kappa:0.48",,,"term-term","term-term","0.47540983606557374","potassium channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","potassium channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0005267 (term-term) GO:0005244"
"986",,,,,"986","kappa:0.85",,,"term-term","term-term","0.8461538461538461","potassium channel activity (term-term) voltage-gated potassium channel activity",,,"false","term-term","potassium channel activity (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0005267 (term-term) GO:0005249"
"987",,,,,"987","is_a:",,,"term-term","term-term","2.0","potassium channel activity (term-term-ontology) voltage-gated potassium channel activity",,"POSITIVELY_REGULATES","false","term-term","potassium channel activity (term-term-ontology) voltage-gated potassium channel activity","+",,,,,"GO:0005267 (term-term-ontology) GO:0005249"
"988",,,,,"988","is_a:",,,"term-term","term-term","2.0","potassium channel activity (term-term-ontology) cation channel activity","POSITIVELY_REGULATES",,"false","term-term","potassium channel activity (term-term-ontology) cation channel activity","+",,,,,"GO:0005267 (term-term-ontology) GO:0005261"
"990",,,,,"990","kappa:0.48",,,"term-term","term-term","0.47540983606557374","potassium ion transport (term-term) voltage-gated ion channel activity",,,"false","term-term","potassium ion transport (term-term) voltage-gated ion channel activity","+",,,,,"GO:0006813 (term-term) GO:0005244"
"991",,,,,"991","kappa:0.85",,,"term-term","term-term","0.8461538461538461","potassium ion transport (term-term) voltage-gated potassium channel activity",,,"false","term-term","potassium ion transport (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0006813 (term-term) GO:0005249"
"992",,,,,"992","kappa:1.0",,,"term-term","term-term","1.0","potassium ion transport (term-term) potassium channel activity",,,"false","term-term","potassium ion transport (term-term) potassium channel activity","+",,,,,"GO:0006813 (term-term) GO:0005267"
"994",,,,,"994","kappa:0.86",,,"term-term","term-term","0.8620689655172413","calcium ion transport (term-term) calcium channel activity",,,"false","term-term","calcium ion transport (term-term) calcium channel activity","+",,,,,"GO:0006816 (term-term) GO:0005262"
"997",,,,,"997","kappa:0.76",,,"term-term","term-term","0.7647058823529411","cation transmembrane transporter activity (term-term) cation channel activity",,,"false","term-term","cation transmembrane transporter activity (term-term) cation channel activity","+",,,,,"GO:0008324 (term-term) GO:0005261"
"998",,,,,"998","is_a:",,,"term-term","term-term","2.0","cation transmembrane transporter activity (term-term-ontology) cation channel activity",,"POSITIVELY_REGULATES","false","term-term","cation transmembrane transporter activity (term-term-ontology) cation channel activity","+",,,,,"GO:0008324 (term-term-ontology) GO:0005261"
"1000",,,,,"1000","kappa:0.56",,,"term-term","term-term","0.5555555555555556","response to mechanical stimulus (term-term) calcium ion transport",,,"false","term-term","response to mechanical stimulus (term-term) calcium ion transport","+",,,,,"GO:0009612 (term-term) GO:0006816"
"1002",,,,,"1002","kappa:0.48",,,"term-term","term-term","0.47540983606557374","potassium ion transmembrane transporter activity (term-term) voltage-gated ion channel activity",,,"false","term-term","potassium ion transmembrane transporter activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0015079 (term-term) GO:0005244"
"1003",,,,,"1003","kappa:0.85",,,"term-term","term-term","0.8461538461538461","potassium ion transmembrane transporter activity (term-term) voltage-gated potassium channel activity",,,"false","term-term","potassium ion transmembrane transporter activity (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0015079 (term-term) GO:0005249"
"1004",,,,,"1004","kappa:1.0",,,"term-term","term-term","1.0","potassium ion transmembrane transporter activity (term-term) potassium channel activity",,,"false","term-term","potassium ion transmembrane transporter activity (term-term) potassium channel activity","+",,,,,"GO:0015079 (term-term) GO:0005267"
"1005",,,,,"1005","is_a:",,,"term-term","term-term","2.0","potassium ion transmembrane transporter activity (term-term-ontology) potassium channel activity",,"POSITIVELY_REGULATES","false","term-term","potassium ion transmembrane transporter activity (term-term-ontology) potassium channel activity","+",,,,,"GO:0015079 (term-term-ontology) GO:0005267"
"1006",,,,,"1006","kappa:1.0",,,"term-term","term-term","1.0","potassium ion transmembrane transporter activity (term-term) potassium ion transport",,,"false","term-term","potassium ion transmembrane transporter activity (term-term) potassium ion transport","+",,,,,"GO:0015079 (term-term) GO:0006813"
"1008",,,,,"1008","kappa:1.0",,,"term-term","term-term","1.0","calcium ion transmembrane transporter activity (term-term) calcium channel activity",,,"false","term-term","calcium ion transmembrane transporter activity (term-term) calcium channel activity","+",,,,,"GO:0015085 (term-term) GO:0005262"
"1009",,,,,"1009","is_a:",,,"term-term","term-term","2.0","calcium ion transmembrane transporter activity (term-term-ontology) calcium channel activity",,"POSITIVELY_REGULATES","false","term-term","calcium ion transmembrane transporter activity (term-term-ontology) calcium channel activity","+",,,,,"GO:0015085 (term-term-ontology) GO:0005262"
"1010",,,,,"1010","kappa:0.86",,,"term-term","term-term","0.8620689655172413","calcium ion transmembrane transporter activity (term-term) calcium ion transport",,,"false","term-term","calcium ion transmembrane transporter activity (term-term) calcium ion transport","+",,,,,"GO:0015085 (term-term) GO:0006816"
"1012",,,,,"1012","kappa:1.0",,,"term-term","term-term","1.0","inorganic anion transmembrane transporter activity (term-term) chloride transport",,,"false","term-term","inorganic anion transmembrane transporter activity (term-term) chloride transport","+",,,,,"GO:0015103 (term-term) GO:0006821"
"1014",,,,,"1014","kappa:1.0",,,"term-term","term-term","1.0","chloride transmembrane transporter activity (term-term) chloride transport",,,"false","term-term","chloride transmembrane transporter activity (term-term) chloride transport","+",,,,,"GO:0015108 (term-term) GO:0006821"
"1015",,,,,"1015","kappa:1.0",,,"term-term","term-term","1.0","chloride transmembrane transporter activity (term-term) inorganic anion transmembrane transporter activity",,,"false","term-term","chloride transmembrane transporter activity (term-term) inorganic anion transmembrane transporter activity","+",,,,,"GO:0015108 (term-term) GO:0015103"
"1016",,,,,"1016","is_a:",,,"term-term","term-term","2.0","chloride transmembrane transporter activity (term-term-ontology) inorganic anion transmembrane transporter activity","POSITIVELY_REGULATES",,"false","term-term","chloride transmembrane transporter activity (term-term-ontology) inorganic anion transmembrane transporter activity","+",,,,,"GO:0015108 (term-term-ontology) GO:0015103"
"1018",,,,,"1018","kappa:1.0",,,"term-term","term-term","1.0","channel activity (term-term) ion channel activity",,,"false","term-term","channel activity (term-term) ion channel activity","+",,,,,"GO:0015267 (term-term) GO:0005216"
"1019",,,,,"1019","kappa:0.45",,,"term-term","term-term","0.4482758620689655","channel activity (term-term) cation channel activity",,,"false","term-term","channel activity (term-term) cation channel activity","+",,,,,"GO:0015267 (term-term) GO:0005261"
"1021",,,,,"1021","kappa:1.0",,,"term-term","term-term","1.0","inorganic anion transport (term-term) chloride transport",,,"false","term-term","inorganic anion transport (term-term) chloride transport","+",,,,,"GO:0015698 (term-term) GO:0006821"
"1022",,,,,"1022","is_a:",,,"term-term","term-term","2.0","inorganic anion transport (term-term-ontology) chloride transport",,"POSITIVELY_REGULATES","false","term-term","inorganic anion transport (term-term-ontology) chloride transport","+",,,,,"GO:0015698 (term-term-ontology) GO:0006821"
"1023",,,,,"1023","kappa:1.0",,,"term-term","term-term","1.0","inorganic anion transport (term-term) inorganic anion transmembrane transporter activity",,,"false","term-term","inorganic anion transport (term-term) inorganic anion transmembrane transporter activity","+",,,,,"GO:0015698 (term-term) GO:0015103"
"1024",,,,,"1024","kappa:1.0",,,"term-term","term-term","1.0","inorganic anion transport (term-term) chloride transmembrane transporter activity",,,"false","term-term","inorganic anion transport (term-term) chloride transmembrane transporter activity","+",,,,,"GO:0015698 (term-term) GO:0015108"
"1026",,,,,"1026","kappa:1.0",,,"term-term","term-term","1.0","passive transmembrane transporter activity (term-term) ion channel activity",,,"false","term-term","passive transmembrane transporter activity (term-term) ion channel activity","+",,,,,"GO:0022803 (term-term) GO:0005216"
"1027",,,,,"1027","kappa:0.45",,,"term-term","term-term","0.4482758620689655","passive transmembrane transporter activity (term-term) cation channel activity",,,"false","term-term","passive transmembrane transporter activity (term-term) cation channel activity","+",,,,,"GO:0022803 (term-term) GO:0005261"
"1028",,,,,"1028","kappa:1.0",,,"term-term","term-term","1.0","passive transmembrane transporter activity (term-term) channel activity",,,"false","term-term","passive transmembrane transporter activity (term-term) channel activity","+",,,,,"GO:0022803 (term-term) GO:0015267"
"1029",,,,,"1029","is_a:",,,"term-term","term-term","2.0","passive transmembrane transporter activity (term-term-ontology) channel activity",,"POSITIVELY_REGULATES","false","term-term","passive transmembrane transporter activity (term-term-ontology) channel activity","+",,,,,"GO:0022803 (term-term-ontology) GO:0015267"
"1031",,,,,"1031","kappa:0.46",,,"term-term","term-term","0.4576271186440678","voltage-gated channel activity (term-term) action potential",,,"false","term-term","voltage-gated channel activity (term-term) action potential","+",,,,,"GO:0022832 (term-term) GO:0001508"
"1032",,,,,"1032","kappa:1.0",,,"term-term","term-term","1.0","voltage-gated channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","voltage-gated channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0022832 (term-term) GO:0005244"
"1033",,,,,"1033","is_a:",,,"term-term","term-term","2.0","voltage-gated channel activity (term-term-ontology) voltage-gated ion channel activity",,"POSITIVELY_REGULATES","false","term-term","voltage-gated channel activity (term-term-ontology) voltage-gated ion channel activity","+",,,,,"GO:0022832 (term-term-ontology) GO:0005244"
"1034",,,,,"1034","kappa:0.6",,,"term-term","term-term","0.6","voltage-gated channel activity (term-term) voltage-gated potassium channel activity",,,"false","term-term","voltage-gated channel activity (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0022832 (term-term) GO:0005249"
"1035",,,,,"1035","kappa:0.48",,,"term-term","term-term","0.47540983606557374","voltage-gated channel activity (term-term) potassium channel activity",,,"false","term-term","voltage-gated channel activity (term-term) potassium channel activity","+",,,,,"GO:0022832 (term-term) GO:0005267"
"1036",,,,,"1036","kappa:0.48",,,"term-term","term-term","0.47540983606557374","voltage-gated channel activity (term-term) potassium ion transport",,,"false","term-term","voltage-gated channel activity (term-term) potassium ion transport","+",,,,,"GO:0022832 (term-term) GO:0006813"
"1037",,,,,"1037","kappa:0.48",,,"term-term","term-term","0.47540983606557374","voltage-gated channel activity (term-term) potassium ion transmembrane transporter activity",,,"false","term-term","voltage-gated channel activity (term-term) potassium ion transmembrane transporter activity","+",,,,,"GO:0022832 (term-term) GO:0015079"
"1039",,,,,"1039","kappa:0.64",,,"term-term","term-term","0.6363636363636364","gated channel activity (term-term) ion channel activity",,,"false","term-term","gated channel activity (term-term) ion channel activity","+",,,,,"GO:0022836 (term-term) GO:0005216"
"1040",,,,,"1040","kappa:0.64",,,"term-term","term-term","0.6363636363636364","gated channel activity (term-term) channel activity",,,"false","term-term","gated channel activity (term-term) channel activity","+",,,,,"GO:0022836 (term-term) GO:0015267"
"1041",,,,,"1041","is_a:",,,"term-term","term-term","2.0","gated channel activity (term-term-ontology) channel activity","POSITIVELY_REGULATES",,"false","term-term","gated channel activity (term-term-ontology) channel activity","+",,,,,"GO:0022836 (term-term-ontology) GO:0015267"
"1042",,,,,"1042","kappa:0.64",,,"term-term","term-term","0.6363636363636364","gated channel activity (term-term) passive transmembrane transporter activity",,,"false","term-term","gated channel activity (term-term) passive transmembrane transporter activity","+",,,,,"GO:0022836 (term-term) GO:0022803"
"1043",,,,,"1043","is_a:",,,"term-term","term-term","2.0","gated channel activity (term-term-ontology) voltage-gated channel activity",,"POSITIVELY_REGULATES","false","term-term","gated channel activity (term-term-ontology) voltage-gated channel activity","+",,,,,"GO:0022836 (term-term-ontology) GO:0022832"
"1045",,,,,"1045","kappa:1.0",,,"term-term","term-term","1.0","substrate-specific channel activity (term-term) ion channel activity",,,"false","term-term","substrate-specific channel activity (term-term) ion channel activity","+",,,,,"GO:0022838 (term-term) GO:0005216"
"1046",,,,,"1046","is_a:",,,"term-term","term-term","2.0","substrate-specific channel activity (term-term-ontology) ion channel activity",,"POSITIVELY_REGULATES","false","term-term","substrate-specific channel activity (term-term-ontology) ion channel activity","+",,,,,"GO:0022838 (term-term-ontology) GO:0005216"
"1047",,,,,"1047","kappa:0.45",,,"term-term","term-term","0.4482758620689655","substrate-specific channel activity (term-term) cation channel activity",,,"false","term-term","substrate-specific channel activity (term-term) cation channel activity","+",,,,,"GO:0022838 (term-term) GO:0005261"
"1048",,,,,"1048","kappa:1.0",,,"term-term","term-term","1.0","substrate-specific channel activity (term-term) channel activity",,,"false","term-term","substrate-specific channel activity (term-term) channel activity","+",,,,,"GO:0022838 (term-term) GO:0015267"
"1049",,,,,"1049","is_a:",,,"term-term","term-term","2.0","substrate-specific channel activity (term-term-ontology) channel activity","POSITIVELY_REGULATES",,"false","term-term","substrate-specific channel activity (term-term-ontology) channel activity","+",,,,,"GO:0022838 (term-term-ontology) GO:0015267"
"1050",,,,,"1050","kappa:1.0",,,"term-term","term-term","1.0","substrate-specific channel activity (term-term) passive transmembrane transporter activity",,,"false","term-term","substrate-specific channel activity (term-term) passive transmembrane transporter activity","+",,,,,"GO:0022838 (term-term) GO:0022803"
"1051",,,,,"1051","kappa:0.64",,,"term-term","term-term","0.6363636363636364","substrate-specific channel activity (term-term) gated channel activity",,,"false","term-term","substrate-specific channel activity (term-term) gated channel activity","+",,,,,"GO:0022838 (term-term) GO:0022836"
"1053",,,,,"1053","kappa:0.59",,,"term-term","term-term","0.5897435897435898","ion gated channel activity (term-term) chloride transport",,,"false","term-term","ion gated channel activity (term-term) chloride transport","+",,,,,"GO:0022839 (term-term) GO:0006821"
"1054",,,,,"1054","kappa:0.59",,,"term-term","term-term","0.5897435897435898","ion gated channel activity (term-term) inorganic anion transmembrane transporter activity",,,"false","term-term","ion gated channel activity (term-term) inorganic anion transmembrane transporter activity","+",,,,,"GO:0022839 (term-term) GO:0015103"
"1055",,,,,"1055","kappa:0.59",,,"term-term","term-term","0.5897435897435898","ion gated channel activity (term-term) chloride transmembrane transporter activity",,,"false","term-term","ion gated channel activity (term-term) chloride transmembrane transporter activity","+",,,,,"GO:0022839 (term-term) GO:0015108"
"1056",,,,,"1056","kappa:0.59",,,"term-term","term-term","0.5897435897435898","ion gated channel activity (term-term) inorganic anion transport",,,"false","term-term","ion gated channel activity (term-term) inorganic anion transport","+",,,,,"GO:0022839 (term-term) GO:0015698"
"1057",,,,,"1057","is_a:",,,"term-term","term-term","2.0","ion gated channel activity (term-term-ontology) gated channel activity","POSITIVELY_REGULATES",,"false","term-term","ion gated channel activity (term-term-ontology) gated channel activity","+",,,,,"GO:0022839 (term-term-ontology) GO:0022836"
"1059",,,,,"1059","kappa:0.56",,,"term-term","term-term","0.5555555555555556","voltage-gated cation channel activity (term-term) action potential",,,"false","term-term","voltage-gated cation channel activity (term-term) action potential","+",,,,,"GO:0022843 (term-term) GO:0001508"
"1060",,,,,"1060","kappa:0.87",,,"term-term","term-term","0.8709677419354839","voltage-gated cation channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","voltage-gated cation channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0022843 (term-term) GO:0005244"
"1061",,,,,"1061","is_a:",,,"term-term","term-term","2.0","voltage-gated cation channel activity (term-term-ontology) voltage-gated ion channel activity","POSITIVELY_REGULATES",,"false","term-term","voltage-gated cation channel activity (term-term-ontology) voltage-gated ion channel activity","+",,,,,"GO:0022843 (term-term-ontology) GO:0005244"
"1062",,,,,"1062","kappa:0.71",,,"term-term","term-term","0.7142857142857143","voltage-gated cation channel activity (term-term) voltage-gated potassium channel activity",,,"false","term-term","voltage-gated cation channel activity (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0022843 (term-term) GO:0005249"
"1063",,,,,"1063","is_a:",,,"term-term","term-term","2.0","voltage-gated cation channel activity (term-term-ontology) voltage-gated potassium channel activity",,"POSITIVELY_REGULATES","false","term-term","voltage-gated cation channel activity (term-term-ontology) voltage-gated potassium channel activity","+",,,,,"GO:0022843 (term-term-ontology) GO:0005249"
"1064",,,,,"1064","is_a:",,,"term-term","term-term","2.0","voltage-gated cation channel activity (term-term-ontology) cation channel activity","POSITIVELY_REGULATES",,"false","term-term","voltage-gated cation channel activity (term-term-ontology) cation channel activity","+",,,,,"GO:0022843 (term-term-ontology) GO:0005261"
"1065",,,,,"1065","kappa:0.59",,,"term-term","term-term","0.5862068965517241","voltage-gated cation channel activity (term-term) potassium channel activity",,,"false","term-term","voltage-gated cation channel activity (term-term) potassium channel activity","+",,,,,"GO:0022843 (term-term) GO:0005267"
"1066",,,,,"1066","kappa:0.59",,,"term-term","term-term","0.5862068965517241","voltage-gated cation channel activity (term-term) potassium ion transport",,,"false","term-term","voltage-gated cation channel activity (term-term) potassium ion transport","+",,,,,"GO:0022843 (term-term) GO:0006813"
"1067",,,,,"1067","kappa:0.59",,,"term-term","term-term","0.5862068965517241","voltage-gated cation channel activity (term-term) potassium ion transmembrane transporter activity",,,"false","term-term","voltage-gated cation channel activity (term-term) potassium ion transmembrane transporter activity","+",,,,,"GO:0022843 (term-term) GO:0015079"
"1068",,,,,"1068","kappa:0.87",,,"term-term","term-term","0.8709677419354839","voltage-gated cation channel activity (term-term) voltage-gated channel activity",,,"false","term-term","voltage-gated cation channel activity (term-term) voltage-gated channel activity","+",,,,,"GO:0022843 (term-term) GO:0022832"
"1070",,,,,"1070","kappa:0.82",,,"term-term","term-term","0.8181818181818182","inorganic cation transmembrane transporter activity (term-term) cation channel activity",,,"false","term-term","inorganic cation transmembrane transporter activity (term-term) cation channel activity","+",,,,,"GO:0022890 (term-term) GO:0005261"
"1071",,,,,"1071","kappa:0.6",,,"term-term","term-term","0.6","inorganic cation transmembrane transporter activity (term-term) cation transmembrane transporter activity",,,"false","term-term","inorganic cation transmembrane transporter activity (term-term) cation transmembrane transporter activity","+",,,,,"GO:0022890 (term-term) GO:0008324"
"1072",,,,,"1072","is_a:",,,"term-term","term-term","2.0","inorganic cation transmembrane transporter activity (term-term-ontology) cation transmembrane transporter activity","POSITIVELY_REGULATES",,"false","term-term","inorganic cation transmembrane transporter activity (term-term-ontology) cation transmembrane transporter activity","+",,,,,"GO:0022890 (term-term-ontology) GO:0008324"
"1074",,,,,"1074","kappa:0.45",,,"term-term","term-term","0.4482758620689655","metal ion transport (term-term) ion channel activity",,,"false","term-term","metal ion transport (term-term) ion channel activity","+",,,,,"GO:0030001 (term-term) GO:0005216"
"1075",,,,,"1075","kappa:1.0",,,"term-term","term-term","1.0","metal ion transport (term-term) cation channel activity",,,"false","term-term","metal ion transport (term-term) cation channel activity","+",,,,,"GO:0030001 (term-term) GO:0005261"
"1076",,,,,"1076","is_a:",,,"term-term","term-term","2.0","metal ion transport (term-term-ontology) potassium ion transport",,"POSITIVELY_REGULATES","false","term-term","metal ion transport (term-term-ontology) potassium ion transport","+",,,,,"GO:0030001 (term-term-ontology) GO:0006813"
"1077",,,,,"1077","kappa:0.76",,,"term-term","term-term","0.7647058823529411","metal ion transport (term-term) cation transmembrane transporter activity",,,"false","term-term","metal ion transport (term-term) cation transmembrane transporter activity","+",,,,,"GO:0030001 (term-term) GO:0008324"
"1078",,,,,"1078","kappa:0.45",,,"term-term","term-term","0.4482758620689655","metal ion transport (term-term) channel activity",,,"false","term-term","metal ion transport (term-term) channel activity","+",,,,,"GO:0030001 (term-term) GO:0015267"
"1079",,,,,"1079","kappa:0.45",,,"term-term","term-term","0.4482758620689655","metal ion transport (term-term) passive transmembrane transporter activity",,,"false","term-term","metal ion transport (term-term) passive transmembrane transporter activity","+",,,,,"GO:0030001 (term-term) GO:0022803"
